,ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4,Date
120,400203,580,E,4,1,53000.0,44.68,60.613,37.822145,-122.259965,0.365,ML,4,Kempton St/Fairmont St,DT337,L4-E-33-580-04468,582254,420396,2015_01_10
121,400204,84,W,4,1,26000.0,1.31,31.37,37.521657,-122.102892,0.39,ML,3,1800' W OF KGO STATION,DT921,L3-W-33-084-00131,484106,418826,2015_01_10
122,400206,101,S,4,85,68000.0,41.87,391.543,37.381356,-121.96211,0.395,ML,4,San Tomas Expwy rm-s-loop,DT723,L4-S-37-101-04187,998165,424558,2015_01_10
123,400207,680,N,4,13,17988.0,7.98,39.353,37.827979,-121.998142,0.425,ML,4,1300' S of El Cerro Blvd,DT258,L4-N-28-680-00798,680230,418481,2015_01_10
124,400208,680,S,4,13,83346.0,16.09,47.609,37.922169,-122.061722,0.135,ML,6,400' N of S.O.S Dr.,DT547,L6-S-28-680-01609,681266,423666,2015_01_10
125,400209,85,S,4,85,17610.0,17.49,17.666,37.319961,-122.049031,0.95,ML,4,Stevens Creek Blvd  rm-s-diag,DT607,L4-S-37-085-01749,998089,419916,2015_01_10
126,400211,680,N,4,13,83346.0,13.36,44.852,37.889602,-122.058084,0.19,ML,5,1700' N of South Main St.,DT262,L5-N-28-680-01336,680255,423441,2015_01_10
127,400212,680,N,4,13,68378.0,2.53,33.903,37.75546,-121.962333,0.275,ML,4,2000' S of Bollinger Canyon Rd,DT500,L4-N-28-680-00253,680221,418403,2015_01_10
128,400213,85,S,4,85,44112.0,11.16,11.336,37.259192,-121.967128,0.595,ML,4,Winchester Blvd  rm-n-diag,DT574,L4-S-37-085-01116,998080,419904,2015_01_10
129,400214,101,N,4,41,52582.0,18.76,460.033,38.076333,-122.54237,0.305,ML,4,S of 37/101 interchange,DT5A1,L4-N-27-101-01876,981112,420637,2015_01_10
130,400216,580,E,4,13,60620.0,1.98,65.906,37.919642,-122.332292,0.281,ML,3,Regatta Blvd,DT119,L3-E-28-580-00198,580004,418666,2015_01_10
131,400218,880,N,4,1,53000.0,R33.15,43.377,37.803542,-122.301498,0.52,ML,4,2400' S of 7th St,DT332,L4-N-33-880-03315,999341,424852,2015_01_10
132,400221,17,N,4,85,10340.0,12.28,24.833,37.293614,-121.937899,0.745,ML,3,Hamilton Ave  rm-n-loop,DT754,L3-N-37-017-01228,998025,420777,2015_01_10
133,400222,85,N,4,85,68000.0,13.52,13.696,37.275395,-122.004702,0.93,ML,3,oppo Saratoga Ave rm-s-diag,DT590,L3-N-37-085-01352,998082,420862,2015_01_10
134,400223,101,S,4,85,68000.0,23.29,372.597,37.208606,-121.722043,0.805,ML,4,BAILEY AVE,DT579,L4-S-37-101-02329,999069,419934,2015_01_10
135,400224,24,W,4,1,53000.0,2.63,0.783,37.835531,-122.266013,0.285,ML,4,47TH ST AND MARTIN LUTHER KING,DT616,L4-W-33-024-00263,224105,424396,2015_01_10
136,400225,880,S,4,1,68084.0,20.65,30.877,37.689656,-122.136588,0.9,ML,4,Washington Ave rm-s-loop,DTA56,L4-S-33-880-02065,998443,421906,2015_01_10
137,400227,101,N,4,85,68000.0,40.81,390.447,37.377237,-121.943586,0.255,ML,5,Trimble Rd rm-n-diag,DT475,L5-N-37-101-04081,998161,422632,2015_01_10
138,400228,880,S,4,1,68084.0,23.53,33.757,37.71769,-122.175415,0.625,ML,4,Davis St rm-s-loop/diag,DT701,L4-S-33-880-02353,998451,421918,2015_01_10
139,400231,280,S,4,75,67000.0,6.52,56.493,37.762469,-122.392743,2.348,ML,3,18th St / Pennsylvania,DT249,L3-S-34-280-00652,280298,421167,2015_01_10
140,400232,680,N,4,1,26000.0,.35,10.276,37.468847,-121.907383,0.465,ML,3,Scott Creek Rd rm-n-diag,DT354,L3-N-33-680-00035,680147,420697,2015_01_10
141,400235,80,W,4,13,,11.35,24.683,38.030242,-122.255308,0.375,ML,4,California St / Spring,DT023,L4-W-28-080-01135,802208,431137,2015_01_10
142,400236,87,S,4,85,68000.0,5.26,5.26,37.325105,-121.893262,0.595,ML,2,Auzerais Ave/Delmas St,DT667,L2-S-37-087-00526,998113,417998,2015_01_10
143,400237,101,N,4,85,68000.0,23.39,372.661,37.209941,-121.722999,0.805,ML,4,BAILEY AVE,DT580,L4-N-37-101-02339,999070,422530,2015_01_10
144,400238,880,S,4,85,47766.0,7.53,7.53,37.413256,-121.912324,0.475,ML,4,Great Mall Pkwy,DT064,L4-S-37-880-00753,998323,421442,2015_01_10
145,400240,17,N,4,85,44112.0,9.55,22.103,37.258184,-121.953853,0.535,ML,3,NB 85 rm-n-conn,DT260,L3-N-37-017-00955,998017,420767,2015_01_10
146,400242,880,S,4,1,53000.0,R34.9,45.127,37.824311,-122.291457,0.15,ML,4,2000' N of W Grand Ave,DT357,L4-S-33-880-03490,999346,422032,2015_01_10
147,400246,101,N,4,85,69084.0,42.7,392.337,37.38562,-121.976214,0.05,ML,4,GREAT AMERICA PKWY / BOWERS AV,DTA01,l4-N-37-101-04270,998173,422656,2015_01_10
148,400248,880,S,4,1,26000.0,8.87,19.097,37.546915,-122.023163,0.61,ML,4,Thornton Ave rm-s-loop,DTA08,L4-S-33-880-00887,998391,421792,2015_01_10
149,400249,880,N,4,1,26000.0,4.66,14.887,37.506892,-121.966671,0.405,ML,4,Auto Mall Pkwy rm-n-loop,DT995,L4-N-33-880-00466,998365,420084,2015_01_10
150,400251,24,E,4,13,39122.0,6.12,10.468,37.893156,-122.123812,0.445,ML,4,OAK HILL RD,DT447,L4-E-28-024-00612,324141,418373,2015_01_10
151,400252,880,N,4,1,,20.42,30.647,37.687544,-122.133225,0.43,ML,4,Lewelling Blvd rm-n-diag,DTA50,L4-N-33-880-02042,998441,424750,2015_01_10
